Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
37.0,nan,55.4,1.68,197.0,146.0,52.0,1.04,338.0,Cardio,27.4,3.2,3.0,3.0,19.62868480725624
49.0,Female,102.4,1.65,185.0,148.0,68.0,1.27,980.0,Cardio,34.8,2.0,5.0,2.0,37.61248852157944
42.0,Female,95.5,1.95,168.0,125.0,72.0,1.91,632.0,HIIT,26.1,2.0,4.0,1.0,25.11505588428665
27.0,Female,58.7,1.98,199.0,145.0,52.0,2.0,1119.0,Cardio,23.0,2.7,2.0,3.0,14.972961942658914
35.0,Female,49.7,1.86,161.0,146.0,62.0,1.12,867.0,Strength,15.2,1.8,4.0,3.0,14.365822638455311
24.0,Female,86.5,1.65,196.0,169.0,59.0,1.08,771.0,Cardio,27.3,2.1,3.0,1.0,31.772268135904504
44.0,Female,63.6,1.78,167.0,129.0,74.0,1.34,1165.0,Yoga,10.7,3.4,4.0,1.0,20.073223077894205
52.0,Male,58.7,1.58,169.0,131.0,53.0,1.14,900.0,HIIT,28.5,3.3,3.0,2.0,23.513859958340007
49.0,Female,56.6,1.75,198.0,120.0,72.0,1.12,1767.0,Yoga,23.6,2.6,2.0,2.0,18.481632653061222
36.0,Female,40.0,1.71,178.0,169.0,69.0,1.3,1519.0,HIIT,27.5,2.7,4.0,1.0,13.679422728360864
23.0,Female,67.7,1.73,188.0,162.0,54.0,1.76,954.0,Yoga,18.0,3.2,3.0,1.0,22.6202011427044
56.0,Female,40.0,1.74,172.0,146.0,74.0,1.43,876.0,Yoga,26.0,3.4,2.0,1.0,13.21178491214163
48.0,nan,68.0,1.69,185.0,144.0,68.0,1.23,695.0,Yoga,14.2,2.6,2.0,1.0,23.80869017191275
24.0,Male,68.3,1.74,184.0,161.0,51.0,1.9,566.0,Cardio,27.5,3.5,4.0,2.0,22.559122737481832
22.0,Female,99.1,1.72,182.0,169.0,62.0,1.14,1105.0,Yoga,31.4,3.6,4.0,1.0,33.497836668469446
20.0,Female,72.9,1.63,164.0,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,2.0,27.43799164439761
44.0,Female,40.0,1.68,175.0,156.0,74.0,1.04,1010.0,Cardio,28.1,1.8,3.0,3.0,14.172335600907031
33.0,Female,58.3,1.77,167.0,153.0,74.0,1.41,969.0,Strength,29.5,2.6,2.0,1.0,18.608956557821823
18.0,Male,40.0,1.64,177.0,134.0,53.0,0.98,468.0,\nStrength,25.6,2.1,3.0,3.0,14.872099940511603
59.0,Male,45.8,1.5,163.0,137.0,55.0,1.98,1306.0,\tCardio,24.0,2.9,4.0,2.0,20.355555555555554
27.0,Male,52.3,1.75,180.0,128.0,61.0,1.92,931.0,Strength,15.0,2.5,4.0,2.0,17.077551020408162
33.0,Female,76.3,1.95,188.0,125.0,72.0,0.95,899.0,Strength,21.7,2.3,5.0,1.0,20.065746219592373
47.0,Male,77.5,1.72,176.0,151.0,56.0,1.39,679.0,Cardio,13.3,3.5,2.0,3.0,26.196592752839376
18.0,Male,65.3,1.8,197.0,165.0,56.0,0.74,1208.0,HIIT,26.1,3.3,3.0,3.0,20.15432098765432
46.0,Female,40.0,1.58,177.0,132.0,58.0,1.29,1189.0,Strength,31.1,2.5,3.0,2.0,16.023073225444637
27.0,Male,96.3,1.61,198.0,159.0,70.0,1.16,1203.0,Cardio,32.1,3.1,3.0,1.0,37.15134446973496
34.0,Female,49.6,1.52,191.0,146.0,59.0,1.59,744.0,HIIT,22.2,1.6,3.0,1.0,20.97
45.0,Male,86.4,1.51,181.0,159.0,69.0,1.23,1313.0,\tCardio,35.0,3.3,3.0,3.0,37.89307486513749
55.0,Female,68.4,1.85,175.0,150.0,58.0,1.16,1020.0,Cardio,29.2,2.5,4.0,2.0,19.985390796201607
18.0,Female,56.9,1.77,183.0,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,2.0,18.57
41.0,Female,51.1,1.94,181.0,137.0,72.0,1.23,1084.0,nan,16.4,2.3,3.0,2.0,13.577425868848977
24.0,Male,47.6,1.51,175.0,120.0,70.0,0.78,583.0,Strength,22.6,1.7,5.0,1.0,20.876277356256303
26.0,Female,88.8,1.7,193.0,169.0,68.0,1.91,1145.0,Strength,18.1,3.7,2.0,2.0,30.34
18.0,nan,67.5,1.69,177.0,169.0,72.0,1.07,975.0,nan,26.2,1.6,4.0,3.0,23.633626273589865
29.0,Male,96.7,1.7,175.0,141.0,54.0,2.0,880.0,Yoga,32.9,2.3,2.0,3.0,33.46020761245675
26.0,nan,55.7,1.99,172.0,142.0,68.0,2.0,1583.0,Strength,18.9,3.2,4.0,1.0,14.065301381278251
43.0,Male,112.0,1.71,166.0,146.0,58.0,1.62,815.0,HIIT,31.2,2.6,3.0,1.0,38.30238363941042
48.0,Male,75.2,1.72,193.0,169.0,59.0,1.54,1726.0,Cardio,30.9,1.9,2.0,2.0,25.419145484045437
29.0,Female,72.0,1.66,167.0,144.0,68.0,0.87,1248.0,HIIT,10.0,3.6,4.0,3.0,26.1286108288576
57.0,Female,63.6,1.87,170.0,158.0,65.0,1.56,840.0,Strength,23.7,3.6,4.0,1.0,18.187537533243727
22.0,Female,75.7,1.56,194.0,142.0,61.0,1.23,643.0,Strength,28.8,2.3,3.0,3.0,31.10618014464168
20.0,Male,59.1,1.62,191.0,127.0,54.0,1.02,995.0,nan,26.2,3.4,3.0,2.0,22.51943301326017
39.0,Female,41.3,1.76,175.0,136.0,69.0,1.42,1096.0,Yoga,24.3,3.2,3.0,2.0,13.332902892561982
41.0,Male,40.0,1.77,176.0,148.0,65.0,1.03,1238.0,Yoga,11.6,1.9,5.0,1.0,12.767723195761114
41.0,Female,63.7,1.93,195.0,155.0,61.0,1.18,1064.0,HIIT,21.2,3.4,4.0,1.0,17.101130231684074
31.0,Female,100.0,1.75,190.0,169.0,67.0,1.46,1573.0,HIIT,20.8,3.4,4.0,2.0,32.6530612244898
20.0,Male,45.0,1.68,171.0,154.0,74.0,1.5,1692.0,Yoga,10.0,2.4,4.0,1.0,15.94387755102041
26.0,Male,47.1,1.61,189.0,138.0,52.0,1.26,1095.0,Yoga,19.3,3.6,3.0,3.0,18.170595270244203
37.0,Female,72.1,1.83,164.0,152.0,58.0,1.58,1091.0,Cardio,34.4,3.3,4.0,2.0,21.529457433784223
59.0,Male,57.5,1.81,175.0,169.0,58.0,1.47,1349.0,Cardio,24.7,2.5,5.0,2.0,17.551356796190593
22.0,Male,54.3,1.85,165.0,144.0,53.0,2.0,1740.0,\tCardio,26.6,3.7,4.0,2.0,15.865595325054782
25.0,Male,63.9,1.67,178.0,144.0,61.0,1.56,868.0,Strength,24.8,2.4,3.0,2.0,22.912259313707917
32.0,Male,56.6,2.0,190.0,123.0,65.0,1.25,1309.0,HIIT,14.7,3.5,4.0,3.0,14.15
37.0,Female,68.9,1.65,171.0,132.0,50.0,1.19,767.0,Strength,23.0,2.8,3.0,3.0,25.30762167125804
29.0,Female,95.3,1.72,190.0,169.0,74.0,1.49,733.0,HIIT,29.2,3.7,5.0,3.0,32.213358572201194
30.0,Female,96.3,2.0,173.0,136.0,74.0,2.0,1095.0,HIIT,20.4,1.5,5.0,2.0,24.075
28.0,Male,84.4,1.74,181.0,142.0,52.0,1.45,1392.0,Strength,22.0,2.6,2.0,1.0,27.876866164618843
33.0,Male,60.5,1.54,195.0,126.0,56.0,1.27,1237.0,Cardio,29.1,3.7,4.0,2.0,25.51020408163265
48.0,Female,49.8,1.69,184.0,143.0,56.0,1.37,1030.0,Strength,17.7,2.7,3.0,3.0,17.436364272959633
32.0,Male,47.2,1.81,187.0,129.0,65.0,1.19,919.0,HIIT,30.5,1.9,4.0,2.0,14.407374622264278
54.0,nan,56.3,1.59,172.0,169.0,68.0,1.47,936.0,Cardio,19.6,3.1,4.0,2.0,22.26968869902298
49.0,Male,45.0,1.84,190.0,159.0,53.0,1.3,864.0,HIIT,26.5,1.5,4.0,2.0,13.291587901701323
53.0,Male,87.7,1.84,164.0,152.0,53.0,1.37,1066.0,Cardio,24.7,2.6,5.0,2.0,25.16
54.0,Female,46.1,1.85,187.0,162.0,63.0,1.35,772.0,Strength,25.7,3.6,4.0,1.0,13.469685902118334
18.0,Female,69.8,1.82,178.0,168.0,58.0,1.9,963.0,HIIT,31.4,3.7,5.0,2.0,21.072334259147443
18.0,Male,79.2,1.77,198.0,137.0,66.0,1.2,1429.0,Yoga,12.9,3.7,3.0,2.0,25.280091927607007
29.0,Male,60.6,1.76,188.0,148.0,50.0,1.38,676.0,Strength,30.2,2.5,3.0,2.0,19.56353305785124
22.0,Female,53.3,1.73,172.0,144.0,71.0,1.1,1235.0,Strength,22.8,2.6,3.0,1.0,17.8088141935915
20.0,Male,95.7,1.85,196.0,136.0,58.0,1.44,987.0,HIIT,23.8,1.5,3.0,2.0,27.96201607012417
29.0,Female,57.4,1.74,198.0,165.0,67.0,1.58,880.0,Strength,20.9,3.3,4.0,1.0,18.69
47.0,Male,87.3,1.9,194.0,164.0,74.0,1.87,1073.0,HIIT,23.7,3.5,5.0,2.0,24.182825484764543
20.0,Female,65.3,1.75,193.0,136.0,51.0,0.58,1218.0,Yoga,28.4,3.0,4.0,1.0,21.32244897959184
18.0,Male,79.2,1.66,176.0,154.0,72.0,1.58,1493.0,Strength,18.1,2.3,3.0,1.0,28.74147191174336
18.0,Male,73.8,1.75,187.0,149.0,74.0,1.64,1065.0,HIIT,17.7,2.4,3.0,1.0,24.097959183673467
33.0,Female,66.3,1.76,164.0,120.0,74.0,1.44,419.0,nan,25.4,2.6,3.0,3.0,20.67
27.0,Male,72.8,1.82,162.0,136.0,57.0,1.23,780.0,HIIT,11.4,3.5,4.0,3.0,22.59
38.0,Male,50.0,1.75,186.0,135.0,59.0,2.0,695.0,Strength,23.4,1.6,4.0,1.0,16.3265306122449
29.0,Female,93.5,1.85,166.0,167.0,74.0,1.01,670.0,Cardio,23.2,2.6,3.0,1.0,27.319211102994885
54.0,Male,84.0,1.94,178.0,133.0,53.0,1.47,942.0,Yoga,30.7,1.5,4.0,1.0,22.31905622276544
37.0,Female,55.3,1.73,183.0,134.0,51.0,1.1,976.0,Yoga,31.3,2.8,2.0,2.0,18.47706238096829
21.0,Male,66.6,1.85,189.0,121.0,56.0,0.88,993.0,HIIT,13.9,3.4,5.0,1.0,19.459459459459456
21.0,nan,65.8,1.62,172.0,127.0,62.0,1.35,1307.0,Cardio,26.0,3.4,3.0,1.0,25.072397500381037
26.0,Female,59.8,1.6,180.0,151.0,58.0,1.2,611.0,HIIT,16.4,2.5,3.0,3.0,23.359374999999996
42.0,Female,80.3,1.94,192.0,169.0,52.0,1.72,753.0,Yoga,24.6,3.5,5.0,2.0,21.33595493676268
31.0,Female,121.13749999999999,1.7,190.0,169.0,69.0,1.38,735.0,Strength,10.0,2.1,3.0,3.0,41.91608996539792
50.0,Female,40.0,1.75,162.0,169.0,55.0,2.0,1449.0,Yoga,31.7,3.5,4.0,3.0,13.06122448979592
51.0,Female,91.7,1.72,168.0,137.0,58.0,0.86,1529.0,Cardio,10.0,1.7,3.0,1.0,30.99648458626285
18.0,Male,64.8,1.82,169.0,156.0,69.0,1.93,1516.0,Strength,21.9,3.5,3.0,2.0,19.56285472768989
54.0,Male,60.1,1.63,174.0,159.0,72.0,0.52,893.0,Cardio,18.4,3.6,4.0,1.0,22.620347020964285
38.0,Female,59.0,1.73,169.0,134.0,67.0,1.36,1783.0,Yoga,24.5,2.4,3.0,1.0,19.71332152761536
37.0,Male,46.3,1.69,181.0,141.0,67.0,1.64,1445.0,Strength,20.7,2.5,4.0,2.0,16.210916984699416
21.0,Male,66.9,1.69,197.0,149.0,74.0,1.37,872.0,Yoga,16.6,2.6,5.0,2.0,23.4235495956024
19.0,Female,40.0,1.93,167.0,158.0,74.0,1.19,1265.0,Yoga,24.7,2.6,4.0,3.0,10.738543316599104
32.0,Female,79.0,1.6,165.0,149.0,65.0,1.59,1245.0,Yoga,24.3,2.2,3.0,2.0,30.859374999999996
36.0,Female,50.1,1.85,199.0,140.0,68.0,0.91,1243.0,Strength,30.7,2.8,4.0,2.0,14.638422205989771
23.0,Male,71.3,1.77,171.0,134.0,50.0,1.34,1239.0,Cardio,35.0,2.5,3.0,3.0,22.758466596444187
45.0,nan,68.3,1.75,185.0,133.0,65.0,1.31,1595.0,nan,29.1,2.5,4.0,2.0,22.302040816326528
39.0,Female,66.8,1.61,177.0,127.0,59.0,1.64,770.0,Yoga,28.0,3.1,4.0,1.0,25.77061070174761
45.0,Male,53.9,1.68,169.0,141.0,71.0,1.59,1031.0,Yoga,19.2,2.1,3.0,3.0,19.097222222222225
33.0,Female,97.1,1.86,166.0,127.0,72.0,1.39,1783.0,HIIT,11.0,1.5,4.0,1.0,28.06682853509076
27.0,Female,40.0,1.57,178.0,169.0,52.0,1.32,949.0,Strength,28.4,3.1,3.0,2.0,16.227838857560144
37.0,Male,62.1,1.85,196.0,151.0,64.0,1.28,943.0,HIIT,26.7,3.3,4.0,1.0,18.14463111760409
28.0,Male,60.7,1.73,198.0,124.0,70.0,1.34,1212.0,Cardio,24.8,2.0,2.0,1.0,20.21
18.0,Male,46.9,1.84,185.0,147.0,65.0,1.29,1040.0,HIIT,21.8,1.7,3.0,1.0,13.0
18.0,Female,90.8,1.66,182.0,134.0,56.0,1.77,990.0,Yoga,10.0,1.8,4.0,2.0,32.95108143417042
24.0,Female,44.0,1.79,193.0,164.0,62.0,1.84,622.0,Strength,26.3,3.5,4.0,2.0,14.27
27.0,Female,75.1,1.86,175.0,165.0,70.0,1.29,765.0,nan,27.0,3.5,4.0,2.0,21.707711874205103
23.0,Female,74.2,1.71,199.0,150.0,57.0,1.05,1166.0,Cardio,34.5,3.3,3.0,1.0,25.37532916110941
23.0,Female,58.2,1.85,196.0,130.0,57.0,1.36,582.0,HIIT,25.7,1.5,4.0,1.0,17.005113221329438
25.0,Female,65.9,1.73,180.0,151.0,56.0,1.66,825.0,Cardio,10.0,2.5,3.0,1.0,22.01877777406529
23.0,Female,78.7,1.68,191.0,132.0,70.0,1.28,1319.0,nan,21.1,3.5,2.0,2.0,27.884070294784586
43.0,Male,74.2,1.76,188.0,141.0,68.0,0.98,1426.0,Cardio,21.2,3.1,2.0,3.0,23.95402892561984
18.0,Male,56.1,2.0,180.0,120.0,57.0,1.04,1461.0,HIIT,27.4,2.0,5.0,2.0,14.025
45.0,Female,42.1,1.86,194.0,129.0,74.0,0.91,1176.0,Strength,22.1,3.6,5.0,1.0,12.169036882876632
18.0,Male,40.0,1.73,168.0,121.0,73.0,0.64,1153.0,HIIT,29.9,3.1,2.0,3.0,13.364963747535834
18.0,Male,40.0,1.85,175.0,144.0,51.0,2.0,1318.0,nan,32.7,2.0,4.0,2.0,11.68736303871439
20.0,Male,65.3,1.81,171.0,168.0,74.0,0.75,793.0,Strength,24.4,2.1,3.0,2.0,19.93223650071732
22.0,Female,40.0,1.75,181.0,155.0,50.0,2.0,998.0,Strength,27.0,1.8,3.0,1.0,12.82
28.0,Female,107.7,1.99,188.0,129.0,55.0,2.0,1127.0,\tYoga,10.0,2.0,2.0,1.0,27.19628292214843
18.0,Female,40.0,1.8,196.0,120.0,70.0,2.0,979.0,Cardio,10.0,2.6,4.0,1.0,12.34567901234568
57.0,Female,70.0,1.81,167.0,154.0,53.0,1.3,1149.0,Yoga,26.6,1.5,3.0,3.0,21.36686914318855
55.0,Female,63.2,1.59,161.0,168.0,69.0,1.49,1094.0,Yoga,19.0,3.6,3.0,2.0,24.99901111506665
50.0,Male,69.6,1.71,167.0,169.0,57.0,0.98,470.0,Yoga,27.2,2.7,2.0,2.0,23.802195547347903
32.0,Male,57.0,1.76,170.0,160.0,71.0,1.82,904.0,Strength,30.9,3.3,4.0,3.0,18.401342975206614
20.0,Female,75.8,1.87,160.0,163.0,63.0,2.0,988.0,HIIT,23.5,2.7,4.0,3.0,21.676341902828216
18.0,Male,54.7,1.6,167.0,156.0,57.0,1.63,1134.0,Yoga,22.7,3.4,4.0,2.0,21.3671875
30.0,Male,62.2,1.69,164.0,134.0,67.0,1.24,1783.0,Cardio,30.3,3.2,3.0,2.0,21.777948951367254
18.0,Male,97.5,2.0,169.0,159.0,68.0,1.17,782.0,Strength,24.8,1.8,2.0,1.0,24.375
31.0,Female,51.0,1.56,193.0,140.0,64.0,1.41,1347.0,Cardio,28.6,3.5,2.0,2.0,20.956607495069036
18.0,Male,50.6,1.89,189.0,130.0,66.0,1.37,1278.0,HIIT,28.5,3.7,4.0,2.0,14.165336916659667
31.0,Female,71.0,1.81,199.0,158.0,68.0,1.87,1228.0,Strength,29.6,2.7,2.0,2.0,21.672110130948383
28.0,Female,70.0,1.74,198.0,169.0,69.0,2.0,1468.0,Cardio,28.4,2.8,4.0,2.0,23.120623596247853
23.0,Male,57.8,1.87,172.0,142.0,54.0,1.46,1741.0,nan,28.7,3.5,3.0,2.0,16.52892561983471
48.0,Male,67.3,1.61,173.0,139.0,59.0,0.86,659.0,Cardio,20.5,2.7,3.0,2.0,25.963504494425365
52.0,Female,73.5,1.78,181.0,162.0,67.0,2.0,1325.0,Yoga,21.1,2.3,3.0,3.0,23.197828557000378
18.0,Male,94.7,1.52,161.0,141.0,66.0,1.4,1446.0,Yoga,16.7,2.6,3.0,2.0,40.98857340720222
47.0,Male,40.0,1.89,177.0,139.0,69.0,1.3,902.0,HIIT,26.7,3.3,3.0,3.0,11.197894795778394
54.0,Female,63.5,1.51,192.0,147.0,70.0,1.23,526.0,Yoga,28.3,2.2,3.0,3.0,27.849655716854524
22.0,Female,60.1,1.71,198.0,161.0,70.0,1.04,533.0,HIIT,10.3,3.4,5.0,1.0,20.5533326493622
43.0,Male,70.4,1.62,178.0,140.0,66.0,1.37,763.0,HIIT,29.1,3.4,3.0,1.0,26.82517908855357
31.0,Male,40.0,1.77,181.0,127.0,51.0,0.76,1382.0,Cardio,15.3,2.6,4.0,2.0,12.767723195761114
48.0,Male,55.5,1.5,183.0,133.0,51.0,0.73,830.0,Cardio,27.3,2.2,3.0,3.0,24.666666666666668
51.0,Male,75.7,1.73,163.0,147.0,57.0,1.02,406.0,Strength,21.8,1.5,3.0,3.0,25.29319389221157
23.0,Female,95.6,1.5,196.0,152.0,56.0,0.5,639.0,Yoga,25.2,3.2,2.0,1.0,42.47908953185896
43.0,Male,102.5,1.79,190.0,138.0,69.0,1.54,844.0,Cardio,19.7,3.7,4.0,2.0,31.990262476202368
50.0,Male,56.6,1.96,196.0,169.0,74.0,2.0,1299.0,Strength,24.8,1.6,3.0,2.0,14.733444398167432
30.0,Male,40.0,1.67,176.0,120.0,55.0,1.39,1710.0,Cardio,18.2,2.7,3.0,1.0,14.342572340349244
25.0,Female,74.9,1.66,192.0,138.0,58.0,1.73,1766.0,HIIT,28.7,2.3,5.0,1.0,27.181013209464368
19.0,Female,82.8,1.79,192.0,127.0,74.0,1.18,1140.0,Cardio,10.0,2.4,4.0,3.0,25.84189007833713
45.0,Female,40.0,1.93,177.0,141.0,56.0,1.44,1030.0,Strength,24.0,3.6,4.0,1.0,10.738543316599104
41.0,Female,73.3,1.71,196.0,158.0,56.0,1.36,1234.0,Strength,30.1,3.2,4.0,3.0,25.83
53.0,Male,55.3,1.98,177.0,169.0,51.0,0.83,1273.0,Strength,14.7,2.1,2.0,2.0,14.105703499642892
35.0,Male,95.9,1.69,175.0,129.0,58.0,1.22,1674.0,Cardio,27.5,2.1,3.0,3.0,33.5772556983299
33.0,Male,89.6,1.62,175.0,137.0,56.0,1.09,906.0,Cardio,23.9,1.6,3.0,1.0,34.14113702179545
21.0,Male,86.3,1.86,167.0,143.0,73.0,1.26,1783.0,Cardio,27.1,3.1,3.0,2.0,24.94508035611053
27.0,Female,71.3,1.73,168.0,162.0,71.0,1.93,1105.0,HIIT,28.9,2.7,4.0,1.0,23.823047879982624
33.0,Male,42.7,1.82,196.0,145.0,68.0,1.24,1436.0,Yoga,26.3,3.7,4.0,1.0,12.890955198647504
33.0,Female,103.3,1.72,180.0,162.0,58.0,0.66,1104.0,Yoga,22.6,3.2,2.0,1.0,34.91752298539752
33.0,Male,76.8,1.72,193.0,126.0,69.0,1.26,790.0,HIIT,31.8,3.3,4.0,1.0,25.47
23.0,Female,69.1,1.63,198.0,138.0,57.0,2.0,1549.0,Yoga,21.4,3.3,2.0,1.0,26.00775339681584
30.0,Male,75.6,1.82,196.0,138.0,74.0,1.31,925.0,Cardio,32.4,3.3,3.0,3.0,22.823330515638204
18.0,Female,42.0,1.74,197.0,120.0,57.0,2.0,1236.0,Cardio,26.6,1.5,3.0,2.0,13.87237415774871
56.0,Male,62.9,1.5,194.0,153.0,74.0,1.85,991.0,Yoga,23.2,2.4,3.0,2.0,27.95555555555556
22.0,Female,53.5,1.76,194.0,137.0,66.0,2.0,1395.0,Strength,13.1,2.3,5.0,2.0,17.16
21.0,Female,90.7,1.75,190.0,135.0,54.0,1.03,1155.0,Cardio,28.0,2.3,3.0,2.0,29.616326530612245
21.0,Male,74.7,1.59,161.0,169.0,74.0,1.08,1379.0,Yoga,15.2,2.5,3.0,2.0,29.547881808472763
50.0,Male,82.6,1.71,164.0,160.0,63.0,1.33,1011.0,Yoga,22.4,3.6,5.0,2.0,28.248007934065186
27.0,Male,40.0,1.76,183.0,125.0,60.0,1.04,1783.0,Yoga,21.9,3.3,4.0,2.0,12.32
27.0,Female,70.1,1.58,169.0,156.0,63.0,0.82,797.0,Cardio,28.1,3.4,3.0,1.0,28.080435827591725
29.0,Female,40.2,1.7,184.0,152.0,70.0,1.82,744.0,Strength,13.2,2.6,3.0,2.0,13.910034602076127
